date,open,high,low,close,adj_close,volume,range,Year,return
8/26/2004,2.613951921,2.688672066,2.606729031,2.687675953,2.671794653,142572401,0.081943035,2004,
8/27/2004,2.692408085,2.705359936,2.632383108,2.643840075,2.628217459,124826132,0.072976828,2004,-0.016309957
8/30/2004,2.622170925,2.627402067,2.5407269,2.5407269,2.525713682,104429967,0.086675167,2004,-0.03900129
8/31/2004,2.547950029,2.583067894,2.544462919,2.549693108,2.534626961,98825037,0.038604975,2004,0.003528993
9/1/2004,2.557912111,2.564636946,2.482445002,2.496891022,2.482136965,183633734,0.082191944,2004,-0.020709193
9/2/2004,2.470489979,2.549693108,2.464262962,2.528273106,2.513333797,303810504,0.085430145,2004,0.012568464
9/3/2004,2.514326096,2.534002066,2.473727942,2.490912914,2.476193905,103538639,0.060274124,2004,-0.01477696
9/7/2004,2.515820026,2.540477991,2.480951071,2.530016899,2.515066624,117506800,0.05952692,2004,0.015698656
9/8/2004,2.509094954,2.566132069,2.503118038,2.547950029,2.532893896,100186120,0.06301403,2004,0.007088146
9/9/2004,2.553678036,2.55816102,2.515571117,2.548198938,2.533141613,81620792,0.042589903,2004,9.77E-05
9/10/2004,2.530514956,2.654052019,2.523042917,2.623416901,2.607915163,174804764,0.131009102,2004,0.029518089
9/13/2004,2.655795097,2.700129032,2.651561022,2.677464008,2.66164279,157628624,0.04856801,2004,0.020601799
9/14/2004,2.676218987,2.789544106,2.659780025,2.776842117,2.760433674,217608605,0.12976408,2004,0.037116506
9/15/2004,2.753679037,2.845086098,2.744712114,2.789544106,2.77306056,215279909,0.100373983,2004,0.004574257
9/16/2004,2.798012018,2.88418889,2.780827045,2.838609934,2.82183671,186207345,0.103361845,2004,0.017589193
9/17/2004,2.849817991,2.926281929,2.82814908,2.926281929,2.908990622,190350817,0.098132849,2004,0.030885538
9/20/2004,2.912832022,3.0286479,2.908349037,2.972856998,2.955290318,213585582,0.120298862,2004,0.015916125
9/21/2004,2.984065056,2.999258041,2.926779985,2.934998989,2.917656183,145262446,0.072478056,2004,-0.012734554
9/22/2004,2.924040079,2.980577946,2.909344912,2.948447943,2.931025505,152344894,0.071233034,2004,0.004582269
9/23/2004,2.959906101,3.054301977,2.9145751,3.009221077,2.991439581,171524515,0.139726877,2004,0.020611907
9/24/2004,3.012208939,3.090914011,2.982820034,2.984563112,2.96692729,183336625,0.108093977,2004,-0.008194135
